mass	MS_duration	core_mass
5.88435	71.423	1.05145
5.89249	71.2015	1.05341
5.90063	70.9807	1.05539
5.90879	70.7608	1.05736
5.91696	70.5416	1.05934
5.92514	70.3232	1.06132
5.93333	70.1056	1.06331
5.94153	69.8888	1.06529
5.94975	69.6727	1.06729
5.95797	69.4574	1.06928
5.96621	69.2429	1.07128
5.97446	69.0291	1.07329
5.99099	68.6038	1.07731
5.99927	68.3923	1.07932
5.98272	68.8161	1.07529
6.00757	68.1816	1.08134
6.01587	67.9716	1.08336
6.02419	67.7623	1.08539
6.03252	67.5538	1.08742
6.04086	67.346	1.08945
6.04921	67.139	1.09149
6.05757	66.9326	1.09353
6.06594	66.7271	1.09558
6.08273	66.3181	1.09968
6.07433	66.5222	1.09763
6.09114	66.1147	1.10174
6.09956	65.912	1.1038
6.10799	65.71	1.10586
6.11644	65.5088	1.10793
6.13336	65.1084	1.11208
6.14184	64.9093	1.11416
6.12489	65.3082	1.11
6.15033	64.7109	1.11624
6.15883	64.5131	1.11833
6.16735	64.3161	1.12042
6.17587	64.1198	1.12251
6.18441	63.9242	1.12461
6.19296	63.7292	1.12672
6.20152	63.535	1.12882
6.21868	63.1485	1.13305
6.2101	63.3414	1.13093
6.22728	62.9563	1.13517
6.23589	62.7648	1.13729
6.24451	62.5739	1.13942
6.25314	62.3837	1.14155
6.26179	62.1942	1.14368
6.27044	62.0054	1.14582
6.28779	61.6296	1.15011
6.27911	61.8172	1.14796
6.29649	61.4428	1.15226
6.30519	61.2566	1.15442
6.31391	61.071	1.15657
6.32264	60.8861	1.15874
6.33138	60.7019	1.1609
6.34013	60.5183	1.16307
6.34889	60.3353	1.16525
6.35767	60.153	1.16743
6.36646	59.9714	1.16961
6.37526	59.7903	1.1718
6.38408	59.6099	1.17399
6.3929	59.4302	1.17618
6.40174	59.251	1.17838
6.41059	59.0725	1.18058
6.41945	58.8946	1.18279
6.42833	58.7174	1.185
6.43722	58.5407	1.18722
6.44611	58.3647	1.18944
6.45503	58.1893	1.19166
6.47289	57.8403	1.19612
6.46395	58.0145	1.19389
6.48184	57.6668	1.19836
6.4908	57.4938	1.2006
6.49977	57.3214	1.20284
6.50876	57.1497	1.20509
6.51775	56.9785	1.20734
6.52674	56.808	1.20959
6.53573	56.638	1.21185
6.54476	56.4687	1.21411
6.55378	56.2999	1.21637
6.56283	56.1317	1.21865
6.57186	55.9641	1.22091
6.58094	55.7971	1.22319
6.59909	55.4648	1.22775
6.58999	55.6307	1.22547
6.60819	55.2995	1.23005
6.61731	55.1348	1.23234
6.62644	54.9707	1.23464
6.63554	54.8072	1.23693
6.64469	54.6442	1.23924
6.65385	54.4818	1.24155
6.66301	54.3199	1.24386
6.67223	54.1586	1.24619
6.68142	53.9979	1.24851
6.69062	53.8377	1.25083
6.69983	53.6781	1.25316
6.70905	53.5191	1.25549
6.71832	53.3606	1.25784
6.72756	53.2026	1.26018
6.73681	53.0452	1.26252
6.74611	52.8883	1.26487
6.75539	52.732	1.26723
6.76471	52.5763	1.26959
6.774	52.421	1.27195
6.78334	52.2663	1.27432
6.79266	52.1122	1.27668
6.80202	51.9586	1.27906
6.81139	51.8055	1.28145
6.82074	51.6529	1.28382
6.83014	51.5009	1.28622
6.84892	51.1984	1.291
6.83951	51.3494	1.2886
6.85831	51.048	1.29339
6.86775	50.898	1.2958
6.87716	50.7486	1.2982
6.88658	50.5997	1.3006
6.89602	50.4514	1.30301
6.90542	50.3035	1.30541
6.9148	50.1562	1.30781
6.92372	50.0094	1.31009
6.93262	49.8632	1.31237
6.94153	49.7176	1.31465
6.95049	49.5724	1.31694
6.95947	49.4278	1.31924
6.96843	49.2838	1.32154
6.97744	49.1402	1.32385
6.98646	48.9972	1.32616
6.9955	48.8548	1.32848
7.00458	48.7128	1.33081
7.01365	48.5713	1.33314
7.02276	48.4304	1.33548
7.03185	48.29	1.33782
7.04099	48.15	1.34017
7.05015	48.0106	1.34253
7.05932	47.8717	1.34489
7.0685	47.7333	1.34725
7.07773	47.5953	1.34963
7.08694	47.4579	1.352
7.10543	47.1846	1.35677
7.09619	47.321	1.35439
7.11471	47.0486	1.35917
7.124	46.9131	1.36157
7.13331	46.7782	1.36397
7.14263	46.6437	1.36638
7.15196	46.5097	1.36879
7.16131	46.3761	1.37121
7.1707	46.243	1.37364
7.18007	46.1105	1.37607
7.18948	45.9783	1.37851
7.19891	45.8467	1.38095
7.20835	45.7155	1.3834
7.2178	45.5847	1.38585
7.22727	45.4545	1.3883
7.23675	45.3247	1.39077
7.24624	45.1954	1.39323
7.25574	45.0665	1.3957
7.26528	44.9381	1.39818
7.27484	44.8101	1.40067
7.28438	44.6826	1.40315
7.29396	44.5555	1.40565
7.30356	44.4289	1.40814
7.31316	44.3027	1.41065
7.32278	44.1769	1.41315
7.33241	44.0517	1.41567
7.34208	43.9268	1.41819
7.35174	43.8024	1.42071
7.36141	43.6784	1.42324
7.37111	43.5548	1.42577
7.38083	43.4317	1.42831
7.40029	43.1868	1.4334
7.39054	43.3091	1.43085
7.41004	43.065	1.43596
7.41981	42.9436	1.43852
7.42959	42.8226	1.44108
7.43941	42.702	1.44365
7.44922	42.5819	1.44622
7.45904	42.4622	1.4488
7.46889	42.3429	1.45139
7.47876	42.2239	1.45398
7.48862	42.1055	1.45657
7.49851	41.9875	1.45917
7.50841	41.8698	1.46177
7.51833	41.7526	1.46438
7.52826	41.6357	1.467
7.5382	41.5193	1.46962
7.54816	41.4033	1.47224
7.55813	41.2877	1.47487
7.56813	41.1724	1.4775
7.57812	41.0577	1.48014
7.58813	40.9433	1.48278
7.59817	40.8292	1.48543
7.60822	40.7156	1.48809
7.61826	40.6024	1.49074
7.62834	40.4895	1.49341
7.63843	40.3771	1.49608
7.64854	40.265	1.49875
7.65865	40.1534	1.50143
7.66878	40.0421	1.50412
7.67892	39.9312	1.5068
7.68908	39.8207	1.5095
7.69926	39.7105	1.5122
7.70944	39.6008	1.5149
7.71966	39.4914	1.51761
7.72986	39.3824	1.52032
7.7401	39.2737	1.52305
7.75033	39.1655	1.52577
7.76059	39.0576	1.5285
7.77087	38.9501	1.53123
7.78116	38.843	1.53397
7.79144	38.7363	1.53671
7.80176	38.6299	1.53946
7.81209	38.5239	1.54222
7.82243	38.4182	1.54497
7.8328	38.3128	1.54774
7.84317	38.2079	1.55051
7.85355	38.1034	1.55328
7.86394	37.9992	1.55606
7.87437	37.8953	1.55885
7.88479	37.7918	1.56164
7.89524	37.6886	1.56443
7.90568	37.5859	1.56723
7.91616	37.4834	1.57004
7.92663	37.3813	1.57284
7.93713	37.2796	1.57566
7.94765	37.1782	1.57848
7.95816	37.0772	1.5813
7.9687	36.9765	1.58413
7.97926	36.8761	1.58697
7.98983	36.7761	1.58981
8.00041	36.6765	1.59266
8.01101	36.5771	1.59551
8.02161	36.4782	1.59836
8.03224	36.3795	1.60122
8.04287	36.2813	1.60409
8.05352	36.1833	1.60696
8.06418	36.0857	1.60983
8.07486	35.9884	1.61271
8.08555	35.8915	1.61559
8.09626	35.7948	1.61849
8.10698	35.6985	1.62138
8.11771	35.6026	1.62428
8.12847	35.5069	1.62719
8.13922	35.4117	1.6301
8.14999	35.3167	1.63302
8.16079	35.222	1.63594
8.17159	35.1277	1.63886
8.18241	35.0337	1.6418
8.19324	34.94	1.64473
8.20409	34.8466	1.64768
8.21494	34.7537	1.65062
8.22582	34.6609	1.65358
8.2367	34.5685	1.65653
8.24761	34.4764	1.65949
8.25851	34.3847	1.66246
8.26945	34.2932	1.66543
8.28038	34.2021	1.66841
8.29134	34.1113	1.67139
8.30232	34.0207	1.67438
8.31329	33.9306	1.67737
8.32429	33.8407	1.68037
8.33529	33.7511	1.68337
8.34632	33.6618	1.68638
8.35735	33.5729	1.68939
8.36841	33.4842	1.69241
8.37946	33.3959	1.69544
8.39055	33.3078	1.69847
8.40163	33.2201	1.7015
8.41275	33.1327	1.70454
8.42386	33.0456	1.70758
8.435	32.9587	1.71063
8.44614	32.8722	1.71368
8.45729	32.786	1.71674
8.46847	32.7	1.71981
8.47965	32.6144	1.72288
8.49085	32.5291	1.72595
8.50206	32.444	1.72903
8.51328	32.3593	1.73211
8.52452	32.2749	1.7352
8.53577	32.1907	1.7383
8.54703	32.1069	1.7414
8.55831	32.0233	1.7445
8.56961	31.94	1.74761
8.58091	31.857	1.75073
8.59222	31.7744	1.75384
8.60356	31.6919	1.75697
8.61491	31.6098	1.7601
8.62625	31.528	1.76324
8.63762	31.4465	1.76637
8.64899	31.3653	1.76952
8.67179	31.2037	1.77582
8.66039	31.2844	1.77267
8.68321	31.1233	1.77898
8.69465	31.0432	1.78215
8.70608	30.9635	1.78531
8.71754	30.884	1.78849
8.729	30.8048	1.79166
8.74048	30.7258	1.79485
8.75197	30.6472	1.79804
8.76346	30.5689	1.80123
8.77498	30.4908	1.80442
8.79804	30.3355	1.81083
8.78649	30.4131	1.80762
8.80959	30.2583	1.81404
8.82113	30.1815	1.81726
8.83269	30.1049	1.82047
8.84427	30.0286	1.8237
8.85586	29.9526	1.82693
8.86745	29.8769	1.83016
8.87906	29.8015	1.83339
8.89068	29.7263	1.83664
8.9023	29.6515	1.83988
8.91393	29.577	1.84313
8.92588	29.5006	1.84647
8.93795	29.4239	1.84984
8.95004	29.3475	1.85322
8.96214	29.2712	1.8566
8.97425	29.1953	1.86
8.98638	29.1196	1.86339
8.99853	29.0441	1.8668
9.01069	28.9688	1.87021
9.02287	28.8939	1.87362
9.03506	28.8191	1.87704
9.04727	28.7446	1.88047
9.0595	28.6704	1.8839
9.07174	28.5963	1.88734
9.084	28.5226	1.89079
9.09627	28.449	1.89424
9.10856	28.3757	1.8977
9.12086	28.3027	1.90116
9.13318	28.2298	1.90463
9.14552	28.1572	1.90811
9.15787	28.0849	1.91159
9.17024	28.0128	1.91508
9.18263	27.9409	1.91857
9.19503	27.8692	1.92207
9.20745	27.7978	1.92558
9.21988	27.7266	1.92909
9.23233	27.6556	1.93261
9.24479	27.5849	1.93614
9.25727	27.5144	1.93967
9.26977	27.4441	1.9432
9.28228	27.3741	1.94675
9.29481	27.3043	1.9503
9.30736	27.2347	1.95386
9.31992	27.1653	1.95742
9.3325	27.0961	1.96099
9.3451	27.0272	1.96456
9.35771	26.9585	1.96815
9.37033	26.89	1.97173
9.38298	26.8217	1.97533
9.39564	26.7537	1.97893
9.40831	26.6859	1.98254
9.42101	26.6183	1.98615
9.43371	26.5509	1.98977
9.44644	26.4837	1.9934
9.45918	26.4167	1.99703
9.47194	26.35	2.00067
9.48471	26.2835	2.00431
9.4975	26.2171	2.00796
9.51031	26.151	2.01162
9.52314	26.0851	2.01529
9.53598	26.0195	2.01896
9.54883	25.954	2.02264
9.56171	25.8887	2.02632
9.5746	25.8237	2.03001
9.5875	25.7588	2.03371
9.60043	25.6942	2.03741
9.61337	25.6298	2.04112
9.62632	25.5656	2.04484
9.6393	25.5015	2.04856
9.65229	25.4377	2.05229
9.66529	25.3741	2.05603
9.67832	25.3107	2.05977
9.69136	25.2475	2.06352
9.70442	25.1845	2.06728
9.71749	25.1217	2.07104
9.73058	25.0591	2.07481
9.74369	24.9967	2.07858
9.75681	24.9345	2.08237
9.76995	24.8725	2.08616
9.78311	24.8107	2.08995
9.79629	24.7491	2.09375
9.80948	24.6877	2.09756
9.82269	24.6264	2.10138
9.83591	24.5654	2.1052
9.84915	24.5046	2.10903
9.86241	24.444	2.11287
9.87569	24.3835	2.11671
9.88898	24.3233	2.12056
9.9023	24.2632	2.12442
9.91562	24.2033	2.12828
9.92897	24.1437	2.13215
9.94233	24.0842	2.13603
9.95571	24.0249	2.13991
